# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                rk12	                rk23	                rk34	                rk45	      exact solution	              time12	              time23	              time34	              time45	                time	
           0.0406086	           0.0185352	           0.0183152	           0.0190262	           0.0183156	             3.92559	                   5	                   5	                   5	                   5	
           0.0390145	                   0	                   0	                   0	                   0	             3.97466	                   5	                   5	                   5	                   5	
            0.037483	                   0	                   0	                   0	                   0	             4.02373	                   5	                   5	                   5	                   5	
           0.0360115	                   0	                   0	                   0	                   0	              4.0728	                   5	                   5	                   5	                   5	
           0.0345979	                   0	                   0	                   0	                   0	             4.12187	                   5	                   5	                   5	                   5	
           0.0332397	                   0	                   0	                   0	                   0	             4.17094	                   5	                   5	                   5	                   5	
           0.0319348	                   0	                   0	                   0	                   0	             4.22001	                   5	                   5	                   5	                   5	
           0.0306812	                   0	                   0	                   0	                   0	             4.26908	                   5	                   5	                   5	                   5	
           0.0294768	                   0	                   0	                   0	                   0	             4.31815	                   5	                   5	                   5	                   5	
           0.0283197	                   0	                   0	                   0	                   0	             4.36722	                   5	                   5	                   5	                   5	
           0.0272079	                   0	                   0	                   0	                   0	             4.41629	                   5	                   5	                   5	                   5	
           0.0261399	                   0	                   0	                   0	                   0	             4.46536	                   5	                   5	                   5	                   5	
           0.0251137	                   0	                   0	                   0	                   0	             4.51443	                   5	                   5	                   5	                   5	
           0.0241279	                   0	                   0	                   0	                   0	              4.5635	                   5	                   5	                   5	                   5	
           0.0231807	                   0	                   0	                   0	                   0	             4.61257	                   5	                   5	                   5	                   5	
           0.0222707	                   0	                   0	                   0	                   0	             4.66164	                   5	                   5	                   5	                   5	
           0.0213965	                   0	                   0	                   0	                   0	             4.71071	                   5	                   5	                   5	                   5	
           0.0205565	                   0	                   0	                   0	                   0	             4.75978	                   5	                   5	                   5	                   5	
           0.0197496	                   0	                   0	                   0	                   0	             4.80885	                   5	                   5	                   5	                   5	
           0.0189743	                   0	                   0	                   0	                   0	             4.85792	                   5	                   5	                   5	                   5	
           0.0182294	                   0	                   0	                   0	                   0	             4.90699	                   5	                   5	                   5	                   5	
           0.0175138	                   0	                   0	                   0	                   0	             4.95606	                   5	                   5	                   5	                   5	
           0.0168263	                   0	                   0	                   0	                   0	             5.00513	                   5	                   5	                   5	                   5	
All set!
